2,0,0,141,46458
8,0,0,141,46458
14,0,0,141,46458
20,0,0,141,46458
26,0,0,141,46458
32,0,0,141,46458
37,0,0,141,46458
43,0,0,141,46458
49,0,0,141,46458
54,0,0,141,46458
60,0,0,141,46458
65,0,0,140,46339
71,0,0,144,46211
76,0,0,150,45954
81,0,0,151,45955
86,0,0,157,45955
91,0,0,158,45441
96,0,0,161,45443
101,0,0,166,45443
107,0,0,167,45443
113,0,0,174,45443
118,0,0,176,44415
124,0,0,181,44419
130,0,0,184,44419
137,0,0,189,44419
143,0,0,192,44419
149,0,0,197,44419
155,0,0,200,44419
160,0,0,205,44419
166,0,0,206,44419
172,0,0,213,44419
177,0,0,215,42363
182,0,0,221,42371
188,0,0,223,42371
193,0,0,230,42371
198,0,0,231,42371
203,0,0,238,42371
208,0,0,238,42371
214,0,0,240,42371
219,0,0,246,42371
225,0,0,248,42371
231,0,0,254,42371
237,0,0,261,42371
243,0,0,261,42371
249,0,0,268,42371
255,0,0,269,42371
260,0,0,276,42371
266,0,0,276,42371
272,0,0,284,42371
278,0,0,284,42371
283,0,0,292,38259
289,0,0,292,38259
294,0,0,300,38275
299,0,0,300,38275
304,0,0,302,38275
310,0,0,307,38275
315,0,0,310,38275
320,0,0,315,38275
326,0,0,318,38275
332,0,0,323,38275
339,0,0,325,38275
345,0,0,330,38275
351,0,0,333,38275
356,0,0,338,38275
362,0,0,341,38275
367,0,0,346,38275
373,0,0,347,38275
379,0,0,353,38275
384,0,0,355,38275
389,0,0,360,38275
395,0,0,362,38275
400,0,0,367,38275
405,0,0,370,38275
410,0,0,375,38275
416,0,0,378,38275
421,0,0,382,38275
427,0,0,384,38275
433,0,0,389,38275
439,0,0,393,38275
445,0,0,398,38275
452,0,0,405,38275
458,0,0,406,38275
463,0,0,412,38275
469,0,0,412,38275
475,0,0,420,38275
480,0,0,420,38275
486,0,0,426,38275
492,0,0,427,38275
497,0,0,434,38275
502,0,0,434,38275
507,0,0,442,34179
512,0,0,442,34179
518,0,0,449,34179
523,0,0,449,34179
529,0,0,456,34179
536,0,0,457,34179
542,0,0,463,34179
548,0,0,464,34179
554,0,0,470,34179
560,0,0,472,34179
566,0,0,477,34179
571,0,0,480,34179
577,0,0,484,34179
583,0,0,490,34179
588,0,0,490,34179
594,0,0,494,34179
599,0,0,499,34179
604,0,0,500,34179
609,0,0,506,34179
614,0,0,508,34179
620,0,0,513,34179
625,0,0,516,34179
630,0,0,521,34179
636,0,0,528,34179
643,0,0,529,34179
649,0,0,534,34179
655,0,0,536,34179
661,0,0,542,34179
667,0,0,545,34179
673,0,0,551,34179
679,0,0,552,34179
684,0,0,560,34179
690,0,0,560,34179
696,0,0,562,34179
701,0,0,567,34179
707,0,0,573,34179
712,0,0,573,34179
717,0,0,576,34179
722,0,0,581,34179
727,0,0,584,34179
732,0,0,588,25955
737,0,0,590,25987
742,0,0,596,25987
748,0,0,597,25987
754,0,0,603,25987
760,0,0,606,25987
766,0,0,610,25987
772,0,0,614,25987
778,0,0,618,25987
784,0,0,625,25987
790,0,0,625,25987
796,0,0,631,25987
802,0,0,633,25987
808,0,0,639,25987
813,0,0,639,25987
819,0,0,644,25987
824,0,0,647,25987
829,0,0,650,25987
834,0,0,654,25987
839,0,0,657,25987
845,0,0,662,46458
851,0,0,662,46458
856,0,0,662,46458
862,0,0,661,46458
868,0,0,661,46458
874,0,0,661,46458
880,0,0,661,46458
886,0,0,661,46458
893,0,0,661,46458
899,0,0,661,46458
906,0,0,660,46458
913,0,0,660,46458
919,0,0,660,46458
925,0,0,660,46458
931,0,0,660,46458
937,0,0,660,46458
